customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,age
1,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,65
2,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,38
3,Male,61,Recruiting Manager,Property,Mass Customer,Yes,15.0,64
4,Male,33,,IT,Mass Customer,No,7.0,57
5,Female,56,Senior Editor,,Affluent Customer,Yes,8.0,41
6,Male,35,,Retail,High Net Worth,Yes,13.0,52
7,Female,6,,Financial Services,Affluent Customer,Yes,11.0,42
8,Male,31,Media Manager I,,Mass Customer,No,7.0,56
9,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,45
10,Female,49,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20.0,30
11,Male,99,,Property,Mass Customer,No,9.0,64
12,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,24
13,Male,38,Developer I,Financial Services,High Net Worth,Yes,8.0,63
14,Female,85,Account Executive,Financial Services,Affluent Customer,No,6.0,35
15,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1.0,18
16,Male,38,Media Manager IV,,Mass Customer,Yes,18.0,41
17,Male,57,Sales Associate,,Affluent Customer,Yes,15.0,56
18,Female,79,Professor,,Affluent Customer,No,11.0,51
19,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1.0,17
20,Male,72,Project Manager,Manufacturing,Mass Customer,No,11.0,38
21,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,38
22,Female,79,,IT,Mass Customer,No,11.0,56
23,Male,43,,,High Net Worth,Yes,1.0,23
24,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,41
25,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,42
26,Female,12,Editor,Financial Services,Mass Customer,Yes,16.0,40
27,Male,37,Research Nurse,Health,Mass Customer,Yes,12.0,40
28,Male,5,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,45
29,Female,62,Safety Technician III,Manufacturing,Mass Customer,No,19.0,50
30,Male,18,,IT,Affluent Customer,Yes,6.0,57
31,Female,3,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,56
32,Female,17,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,23
33,Male,44,Product Engineer,,Affluent Customer,Yes,11.0,61
35,Female,40,Information Systems Manager,Health,High Net Worth,Yes,16.0,55
36,Female,33,VP Quality Control,,Affluent Customer,No,22.0,41
37,Female,46,Social Worker,Health,High Net Worth,No,16.0,33
38,Female,37,Senior Cost Accountant,Financial Services,Affluent Customer,No,20.0,63
39,Male,5,Assistant Media Planner,Entertainment,Mass Customer,No,22.0,39
40,Female,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14.0,37
41,Male,64,Food Chemist,Health,Mass Customer,No,16.0,42
42,Female,24,Accountant III,Manufacturing,Mass Customer,No,18.0,41
43,Female,38,Director of Sales,Retail,Mass Customer,No,5.0,35
44,Male,63,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17.0,37
45,Male,64,Senior Financial Analyst,Financial Services,Mass Customer,No,8.0,43
46,Female,98,,,Affluent Customer,Yes,15.0,46
47,Male,51,Registered Nurse,Health,Affluent Customer,No,2.0,26
48,Female,46,Biostatistician II,,Mass Customer,Yes,8.0,43
49,Male,63,VP Quality Control,,Affluent Customer,No,1.0,24
50,Male,38,Account Executive,Manufacturing,Mass Customer,Yes,16.0,38
51,Male,68,Computer Systems Analyst II,Retail,Mass Customer,No,18.0,59
52,Male,57,,Financial Services,Mass Customer,Yes,13.0,30
53,Female,22,Software Test Engineer II,Financial Services,Mass Customer,No,16.0,64
54,Female,2,Sales Associate,Property,Mass Customer,Yes,18.0,52
55,Male,48,Paralegal,Financial Services,Affluent Customer,Yes,7.0,62
56,Male,44,VP Sales,Property,Mass Customer,Yes,4.0,22
57,Male,87,Chief Design Engineer,,Mass Customer,Yes,13.0,30
58,Female,26,Office Assistant III,Financial Services,Affluent Customer,Yes,17.0,51
59,Male,60,Physical Therapy Assistant,,High Net Worth,No,3.0,18
60,Female,18,,Manufacturing,Mass Customer,No,10.0,48
61,Female,47,Help Desk Operator,Property,High Net Worth,No,13.0,59
62,Female,38,,IT,Mass Customer,Yes,22.0,39
63,Female,58,Senior Quality Engineer,Retail,Mass Customer,Yes,16.0,53
64,Male,73,Legal Assistant,IT,High Net Worth,No,4.0,40
65,Male,21,Information Systems Manager,Financial Services,Affluent Customer,Yes,15.0,42
66,Male,46,Account Executive,Argiculture,High Net Worth,No,1.0,16
67,Male,67,Web Developer II,Retail,Mass Customer,No,18.0,58
68,Female,37,Information Systems Manager,,Affluent Customer,No,9.0,44
69,Female,16,Web Developer II,,Mass Customer,No,6.0,49
70,Male,78,Paralegal,Financial Services,Affluent Customer,No,8.0,25
71,Male,30,Research Associate,Argiculture,Affluent Customer,Yes,12.0,33
72,Male,93,Administrative Officer,Manufacturing,Affluent Customer,Yes,16.0,46
73,Female,16,Teacher,,Affluent Customer,Yes,5.0,58
74,Female,94,,,Mass Customer,Yes,6.0,49
75,Female,28,VP Product Management,Property,Mass Customer,No,19.0,40
76,Female,20,Statistician II,Retail,High Net Worth,Yes,18.0,40
77,Male,79,Automation Specialist IV,Financial Services,Mass Customer,No,7.0,29
78,Male,37,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8.0,33
79,Female,76,Account Executive,Manufacturing,Mass Customer,No,18.0,50
80,Male,11,Data Coordiator,Entertainment,Mass Customer,No,13.0,40
81,Female,58,,Health,High Net Worth,No,13.0,32
82,Female,93,Software Test Engineer III,Property,High Net Worth,No,19.0,53
83,Male,97,Internal Auditor,IT,Mass Customer,Yes,18.0,51
84,Male,78,Accountant III,,Mass Customer,Yes,14.0,60
85,Male,1,Analyst Programmer,,Mass Customer,No,8.0,60
86,Male,75,Occupational Therapist,Health,High Net Worth,Yes,7.0,29
87,Male,78,Editor,Financial Services,Mass Customer,No,8.0,44
88,Female,41,Help Desk Operator,Property,High Net Worth,Yes,7.0,52
89,Male,74,Speech Pathologist,Health,Mass Customer,Yes,14.0,51
90,Male,76,Quality Control Specialist,Manufacturing,Mass Customer,No,11.0,34
91,Male,69,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17.0,63
92,Female,98,Recruiting Manager,Health,Mass Customer,No,12.0,38
93,Male,63,Project Manager,Retail,Mass Customer,Yes,10.0,42
94,Male,33,Civil Engineer,Manufacturing,Mass Customer,No,21.0,44
95,Female,67,Software Engineer III,Manufacturing,Affluent Customer,Yes,8.0,58
96,Male,33,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15.0,50
97,Male,16,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10.0,39
98,Female,19,Safety Technician IV,Health,Mass Customer,No,7.0,62
99,Male,97,VP Accounting,Financial Services,Mass Customer,No,3.0,20
