customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,postcode,state,property_valuation,target
1,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,65,2016,NSW,10,1
2,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,38,2153,NSW,10,0
4,Male,33,,IT,Mass Customer,No,7.0,57,4211,QLD,9,0
5,Female,56,Senior Editor,,Affluent Customer,Yes,8.0,41,2448,NSW,4,1
6,Male,35,,Retail,High Net Worth,Yes,13.0,52,3216,VIC,9,0
7,Female,6,,Financial Services,Affluent Customer,Yes,11.0,42,2210,NSW,9,0
8,Male,31,Media Manager I,,Mass Customer,No,7.0,56,2650,NSW,4,1
9,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,45,2023,NSW,12,1
11,Male,99,,Property,Mass Customer,No,9.0,64,3044,VIC,8,1
12,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,24,4557,QLD,4,1
13,Male,38,Developer I,Financial Services,High Net Worth,Yes,8.0,63,3799,VIC,6,1
14,Female,85,Account Executive,Financial Services,Affluent Customer,No,6.0,35,2760,NSW,8,0
15,Male,91,Junior Executive,Manufacturing,Mass Customer,No,1.0,18,2428,NSW,9,1
16,Male,38,Media Manager IV,,Mass Customer,Yes,18.0,41,3331,VIC,4,0
17,Male,57,Sales Associate,,Affluent Customer,Yes,15.0,56,3058,VIC,9,0
18,Female,79,Professor,,Affluent Customer,No,11.0,51,2135,NSW,12,1
19,Female,76,Geological Engineer,Manufacturing,High Net Worth,No,1.0,17,2233,NSW,9,0
20,Male,72,Project Manager,Manufacturing,Mass Customer,No,11.0,38,2444,NSW,8,0
21,Male,74,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,38,2650,NSW,7,0
24,Female,55,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,41,2153,NSW,10,1
25,Male,72,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,42,4413,QLD,3,1
26,Female,12,Editor,Financial Services,Mass Customer,Yes,16.0,40,4740,QLD,5,0
27,Male,37,Research Nurse,Health,Mass Customer,Yes,12.0,40,3218,VIC,7,1
28,Male,5,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,45,4868,QLD,4,1
29,Female,62,Safety Technician III,Manufacturing,Mass Customer,No,19.0,50,4116,QLD,7,1
30,Male,18,,IT,Affluent Customer,Yes,6.0,57,2519,NSW,11,0
31,Female,3,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,56,2135,NSW,12,0
32,Female,17,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,23,2756,NSW,9,1
33,Male,44,Product Engineer,,Affluent Customer,Yes,11.0,61,2170,NSW,9,1
35,Female,40,Information Systems Manager,Health,High Net Worth,Yes,16.0,55,4127,QLD,6,0
36,Female,33,VP Quality Control,,Affluent Customer,No,22.0,41,2535,NSW,8,0
37,Female,46,Social Worker,Health,High Net Worth,No,16.0,33,4726,QLD,1,1
38,Female,37,Senior Cost Accountant,Financial Services,Affluent Customer,No,20.0,63,4805,QLD,4,0
39,Male,5,Assistant Media Planner,Entertainment,Mass Customer,No,22.0,39,2212,NSW,10,1
40,Female,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14.0,37,2207,NSW,8,1
41,Male,64,Food Chemist,Health,Mass Customer,No,16.0,42,3350,VIC,9,1
42,Female,24,Accountant III,Manufacturing,Mass Customer,No,18.0,41,3931,VIC,10,0
43,Female,38,Director of Sales,Retail,Mass Customer,No,5.0,35,4018,QLD,8,1
44,Male,63,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17.0,37,4670,QLD,2,1
45,Male,64,Senior Financial Analyst,Financial Services,Mass Customer,No,8.0,43,2480,NSW,3,0
46,Female,98,,,Affluent Customer,Yes,15.0,46,3212,VIC,6,0
47,Male,51,Registered Nurse,Health,Affluent Customer,No,2.0,26,2322,NSW,4,1
48,Female,46,Biostatistician II,,Mass Customer,Yes,8.0,43,3198,VIC,9,1
49,Male,63,VP Quality Control,,Affluent Customer,No,1.0,24,2210,NSW,9,0
50,Male,38,Account Executive,Manufacturing,Mass Customer,Yes,16.0,38,2047,NSW,10,1
51,Male,68,Computer Systems Analyst II,Retail,Mass Customer,No,18.0,59,4503,QLD,5,1
52,Male,57,,Financial Services,Mass Customer,Yes,13.0,30,2145,NSW,8,1
53,Female,22,Software Test Engineer II,Financial Services,Mass Customer,No,16.0,64,4350,QLD,3,0
54,Female,2,Sales Associate,Property,Mass Customer,Yes,18.0,52,2142,NSW,8,1
55,Male,48,Paralegal,Financial Services,Affluent Customer,Yes,7.0,62,2029,NSW,10,1
56,Male,44,VP Sales,Property,Mass Customer,Yes,4.0,22,2127,NSW,10,1
57,Male,87,Chief Design Engineer,,Mass Customer,Yes,13.0,30,4280,QLD,6,1
58,Female,26,Office Assistant III,Financial Services,Affluent Customer,Yes,17.0,51,2166,NSW,9,1
59,Male,60,Physical Therapy Assistant,,High Net Worth,No,3.0,18,2046,NSW,9,0
60,Female,18,,Manufacturing,Mass Customer,No,10.0,48,2026,NSW,10,0
61,Female,47,Help Desk Operator,Property,High Net Worth,No,13.0,59,2765,NSW,7,1
62,Female,38,,IT,Mass Customer,Yes,22.0,39,2749,NSW,8,1
63,Female,58,Senior Quality Engineer,Retail,Mass Customer,Yes,16.0,53,2745,NSW,9,0
64,Male,73,Legal Assistant,IT,High Net Worth,No,4.0,40,3752,VIC,8,0
65,Male,21,Information Systems Manager,Financial Services,Affluent Customer,Yes,15.0,42,2153,NSW,10,1
66,Male,46,Account Executive,Argiculture,High Net Worth,No,1.0,16,2217,NSW,10,0
67,Male,67,Web Developer II,Retail,Mass Customer,No,18.0,58,2230,NSW,10,0
68,Female,37,Information Systems Manager,,Affluent Customer,No,9.0,44,3046,VIC,7,0
69,Female,16,Web Developer II,,Mass Customer,No,6.0,49,3183,VIC,7,1
70,Male,78,Paralegal,Financial Services,Affluent Customer,No,8.0,25,2070,NSW,12,0
71,Male,30,Research Associate,Argiculture,Affluent Customer,Yes,12.0,33,2213,NSW,10,0
72,Male,93,Administrative Officer,Manufacturing,Affluent Customer,Yes,16.0,46,4208,QLD,6,0
73,Female,16,Teacher,,Affluent Customer,Yes,5.0,58,2774,NSW,8,1
74,Female,94,,,Mass Customer,Yes,6.0,49,4133,QLD,8,0
75,Female,28,VP Product Management,Property,Mass Customer,No,19.0,40,2756,NSW,8,1
76,Female,20,Statistician II,Retail,High Net Worth,Yes,18.0,40,4213,QLD,9,1
77,Male,79,Automation Specialist IV,Financial Services,Mass Customer,No,7.0,29,4170,QLD,5,0
78,Male,37,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8.0,33,2153,NSW,9,0
79,Female,76,Account Executive,Manufacturing,Mass Customer,No,18.0,50,2073,NSW,10,1
80,Male,11,Data Coordiator,Entertainment,Mass Customer,No,13.0,40,3561,VIC,1,1
81,Female,58,,Health,High Net Worth,No,13.0,32,2330,NSW,6,0
82,Female,93,Software Test Engineer III,Property,High Net Worth,No,19.0,53,3977,VIC,8,0
83,Male,97,Internal Auditor,IT,Mass Customer,Yes,18.0,51,2204,NSW,12,1
84,Male,78,Accountant III,,Mass Customer,Yes,14.0,60,2086,NSW,11,1
85,Male,1,Analyst Programmer,,Mass Customer,No,8.0,60,2226,NSW,11,1
86,Male,75,Occupational Therapist,Health,High Net Worth,Yes,7.0,29,2075,NSW,11,1
87,Male,78,Editor,Financial Services,Mass Customer,No,8.0,44,2038,NSW,12,1
88,Female,41,Help Desk Operator,Property,High Net Worth,Yes,7.0,52,2069,NSW,12,1
89,Male,74,Speech Pathologist,Health,Mass Customer,Yes,14.0,51,2100,NSW,11,1
90,Male,76,Quality Control Specialist,Manufacturing,Mass Customer,No,11.0,34,2233,NSW,10,1
91,Male,69,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17.0,63,2166,NSW,9,1
92,Female,98,Recruiting Manager,Health,Mass Customer,No,12.0,38,3133,VIC,10,0
93,Male,63,Project Manager,Retail,Mass Customer,Yes,10.0,42,3070,VIC,10,0
94,Male,33,Civil Engineer,Manufacturing,Mass Customer,No,21.0,44,2777,NSW,7,1
95,Female,67,Software Engineer III,Manufacturing,Affluent Customer,Yes,8.0,58,3133,VIC,10,0
96,Male,33,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15.0,50,2125,NSW,11,0
97,Male,16,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10.0,39,2766,NSW,8,1
98,Female,19,Safety Technician IV,Health,Mass Customer,No,7.0,62,2209,NSW,10,0
99,Male,97,VP Accounting,Financial Services,Mass Customer,No,3.0,20,2160,NSW,9,1
100,Male,80,General Manager,Financial Services,Mass Customer,Yes,4.0,50,2065,NSW,12,0
101,Male,83,Nurse Practicioner,Manufacturing,High Net Worth,No,11.0,43,2150,NSW,10,0
102,Male,51,Quality Control Specialist,Manufacturing,Affluent Customer,No,16.0,62,2168,NSW,9,1
103,Female,49,Product Engineer,Financial Services,Affluent Customer,Yes,4.0,21,2046,NSW,12,0
104,Female,40,Automation Specialist II,Health,Mass Customer,Yes,9.0,40,4171,QLD,10,1
105,Female,25,Recruiting Manager,Manufacturing,Mass Customer,No,1.0,17,2155,NSW,10,0
106,Male,54,Software Test Engineer III,Health,High Net Worth,Yes,18.0,52,2517,NSW,9,0
107,Female,97,Nurse Practicioner,Financial Services,Mass Customer,Yes,9.0,28,2096,NSW,12,0
108,Female,4,,,High Net Worth,No,3.0,24,2750,NSW,8,0
109,Male,16,Marketing Assistant,,Affluent Customer,Yes,4.0,40,2217,NSW,11,1
110,Male,23,,Financial Services,Affluent Customer,No,1.0,18,3977,VIC,8,1
111,Female,65,Analyst Programmer,,Mass Customer,No,2.0,25,2093,NSW,12,0
112,Female,88,Marketing Manager,Retail,High Net Worth,No,12.0,43,3204,VIC,11,1
113,Male,67,Staff Scientist,,Mass Customer,No,20.0,62,4300,QLD,4,0
114,Female,10,Teacher,Entertainment,Affluent Customer,No,8.0,33,2170,NSW,9,0
115,Male,77,Account Executive,Health,Mass Customer,No,18.0,37,3844,VIC,1,1
116,Male,49,Assistant Professor,Manufacturing,Affluent Customer,Yes,2.0,19,2168,NSW,8,1
117,Female,75,Marketing Manager,Manufacturing,Mass Customer,No,15.0,36,4226,QLD,6,1
118,Male,43,Budget/Accounting Analyst IV,,High Net Worth,No,19.0,59,3192,VIC,10,0
119,Male,9,Associate Professor,,High Net Worth,Yes,9.0,37,3070,VIC,7,0
120,Male,80,Legal Assistant,Financial Services,High Net Worth,Yes,4.0,40,2485,NSW,2,0
121,Male,82,Graphic Designer,Manufacturing,Mass Customer,No,15.0,61,2097,NSW,9,0
122,Male,87,Quality Control Specialist,Financial Services,Mass Customer,Yes,12.0,39,4817,QLD,2,0
123,Female,85,Analyst Programmer,Financial Services,High Net Worth,No,15.0,30,2516,NSW,8,0
124,Female,27,Administrative Assistant II,Health,High Net Worth,Yes,5.0,23,3074,VIC,8,1
125,Female,94,Computer Systems Analyst II,Property,Mass Customer,No,16.0,58,2213,NSW,10,1
126,Male,53,Administrative Officer,Health,Mass Customer,Yes,3.0,26,4508,QLD,4,0
127,Female,81,Compensation Analyst,Financial Services,Mass Customer,No,19.0,44,4405,QLD,1,1
128,Male,73,Systems Administrator III,Property,Mass Customer,Yes,12.0,41,2452,NSW,5,0
129,Male,64,Financial Advisor,Financial Services,High Net Worth,Yes,19.0,33,2142,NSW,9,0
130,Male,32,Chemical Engineer,Manufacturing,Mass Customer,No,1.0,21,2205,NSW,7,0
131,Female,57,Administrative Officer,Retail,High Net Worth,No,8.0,54,4132,QLD,3,0
132,Female,5,Web Designer I,Manufacturing,Mass Customer,Yes,9.0,55,2145,NSW,8,1
133,Male,12,VP Accounting,Financial Services,Mass Customer,Yes,16.0,41,4744,QLD,1,0
134,Female,34,Legal Assistant,Telecommunications,Affluent Customer,Yes,5.0,21,2158,NSW,11,1
135,Female,18,Internal Auditor,IT,Mass Customer,No,3.0,43,3201,VIC,6,1
136,Male,46,Senior Developer,Manufacturing,High Net Worth,Yes,7.0,45,4178,QLD,3,1
137,Male,27,Office Assistant II,Property,High Net Worth,No,10.0,31,2112,NSW,10,0
138,Male,5,Recruiter,Financial Services,Affluent Customer,Yes,13.0,33,2033,NSW,9,1
139,Male,1,Operator,Telecommunications,Affluent Customer,No,4.0,54,4401,QLD,1,1
140,Male,9,Programmer Analyst III,Manufacturing,Mass Customer,No,2.0,24,3186,VIC,9,1
141,Male,67,Teacher,Financial Services,High Net Worth,Yes,10.0,64,2097,NSW,11,0
142,Male,57,Quality Engineer,Health,Affluent Customer,No,17.0,51,3058,VIC,9,1
143,Male,19,Operator,Argiculture,Mass Customer,Yes,11.0,61,4017,QLD,6,0
145,Male,33,Account Executive,Financial Services,Mass Customer,No,4.0,21,2285,NSW,5,1
146,Male,34,Quality Control Specialist,Manufacturing,Mass Customer,No,8.0,33,2219,NSW,11,0
147,Female,32,Analog Circuit Design manager,Health,Mass Customer,Yes,10.0,45,2065,NSW,11,1
148,Female,69,Programmer Analyst III,,Mass Customer,Yes,5.0,37,3216,VIC,8,0
149,Female,41,Research Nurse,Health,Mass Customer,Yes,1.0,23,4509,QLD,7,0
150,Male,6,Cost Accountant,Financial Services,Affluent Customer,No,17.0,35,2330,NSW,7,0
151,Male,36,Marketing Manager,Manufacturing,Mass Customer,Yes,13.0,53,2759,NSW,9,1
152,Female,5,Compensation Analyst,Financial Services,Mass Customer,No,16.0,37,2069,NSW,12,0
153,Female,73,Assistant Media Planner,Entertainment,Mass Customer,Yes,12.0,41,2747,NSW,8,1
154,Female,90,Junior Executive,,Mass Customer,No,11.0,60,2227,NSW,8,1
155,Male,4,Quality Engineer,Manufacturing,Mass Customer,No,10.0,33,2025,NSW,10,0
156,Female,23,Cost Accountant,Financial Services,Mass Customer,Yes,11.0,39,3191,VIC,11,0
157,Male,97,Financial Advisor,Financial Services,Affluent Customer,No,16.0,44,3025,VIC,8,0
158,Male,99,Internal Auditor,,Affluent Customer,No,5.0,34,2263,NSW,6,1
159,Male,90,Research Nurse,Health,Affluent Customer,No,13.0,31,2233,NSW,10,1
160,Male,5,Registered Nurse,Health,Mass Customer,No,18.0,54,2154,NSW,11,0
161,Male,49,,,Mass Customer,No,16.0,42,2065,NSW,10,0
162,Male,90,Nurse Practicioner,IT,Mass Customer,No,15.0,39,2119,NSW,10,0
163,Female,58,Librarian,Entertainment,High Net Worth,Yes,14.0,42,3016,VIC,10,0
164,Female,55,Senior Editor,Retail,Affluent Customer,Yes,1.0,19,4113,QLD,4,0
165,Male,61,Administrative Officer,Argiculture,Mass Customer,Yes,12.0,34,2032,NSW,10,1
166,Male,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6.0,63,4300,QLD,4,1
167,Female,95,,Health,High Net Worth,Yes,17.0,49,4352,QLD,6,1
169,Male,20,Data Coordiator,Telecommunications,High Net Worth,Yes,5.0,61,2116,NSW,9,0
170,Male,80,Pharmacist,Health,High Net Worth,No,21.0,43,3057,VIC,8,0
171,Female,62,Assistant Manager,Manufacturing,Mass Customer,No,10.0,48,2099,NSW,11,1
172,Male,54,Editor,Manufacturing,Affluent Customer,Yes,6.0,30,3749,VIC,4,1
173,Female,99,General Manager,Health,Affluent Customer,No,1.0,21,2766,NSW,8,1
174,Female,93,Food Chemist,Health,Mass Customer,No,12.0,29,2148,NSW,9,1
175,Male,36,Quality Engineer,Manufacturing,Affluent Customer,No,5.0,43,3145,VIC,11,0
176,Male,39,Accountant I,Property,Mass Customer,No,10.0,26,2021,NSW,8,0
177,Female,25,Professor,Financial Services,High Net Worth,No,4.0,29,2333,NSW,5,1
178,Male,2,,,Affluent Customer,No,8.0,51,2783,NSW,7,0
179,Male,23,Environmental Tech,Manufacturing,High Net Worth,Yes,6.0,52,2280,NSW,9,0
180,Female,16,Web Designer III,Argiculture,Affluent Customer,No,14.0,47,4120,QLD,8,1
181,Female,49,Senior Editor,Manufacturing,Mass Customer,No,9.0,36,3638,VIC,1,1
182,Male,99,Sales Associate,Financial Services,Affluent Customer,Yes,7.0,26,4300,QLD,4,1
183,Female,7,Geologist III,Retail,Affluent Customer,No,3.0,21,2074,NSW,10,1
184,Male,40,Marketing Manager,Manufacturing,High Net Worth,Yes,7.0,47,2880,NSW,1,0
185,Male,80,,Property,Mass Customer,Yes,13.0,39,2430,NSW,5,1
186,Female,46,Software Test Engineer I,Financial Services,Mass Customer,No,3.0,44,4560,QLD,7,1
187,Male,97,Structural Engineer,,Mass Customer,No,11.0,64,2088,NSW,10,1
188,Female,54,Safety Technician II,Property,High Net Worth,Yes,13.0,43,2220,NSW,11,1
189,Male,73,Safety Technician I,Financial Services,Affluent Customer,No,10.0,37,3031,VIC,4,0
190,Female,42,Registered Nurse,Health,Affluent Customer,No,10.0,39,2250,NSW,9,0
191,Male,22,Help Desk Operator,,Affluent Customer,Yes,6.0,58,2261,NSW,7,0
192,Female,2,Junior Executive,Health,Mass Customer,Yes,8.0,40,3196,VIC,6,0
193,Male,13,Recruiting Manager,Manufacturing,Mass Customer,Yes,12.0,54,4352,QLD,7,0
194,Female,4,Web Developer III,Financial Services,Affluent Customer,No,10.0,44,4680,QLD,5,0
195,Female,34,Project Manager,Manufacturing,Mass Customer,No,6.0,60,3143,VIC,9,1
196,Male,90,Programmer Analyst II,Manufacturing,High Net Worth,No,6.0,52,2747,NSW,8,1
197,Female,32,,,High Net Worth,No,5.0,41,2063,NSW,12,1
198,Female,82,Assistant Media Planner,Entertainment,Mass Customer,No,16.0,37,3021,VIC,7,1
199,Female,61,Junior Executive,Health,Mass Customer,Yes,21.0,40,2138,NSW,8,0
200,Male,7,Physical Therapy Assistant,Property,Affluent Customer,Yes,19.0,61,4005,QLD,2,1
201,Male,45,Design Engineer,Manufacturing,Mass Customer,Yes,11.0,52,2233,NSW,9,1
