customer_id,last_transaction_date,no_of_purchases,total_spend,rscore,fscore,mscore,rfm_segment_str,rfm_score,rfm_label,target
1,2017-12-23,11,9084.45,4,4,4,444,12,best,1
2,2017-08-24,3,4149.07,3,1,1,311,5,,0
3,2017-09-19,8,9888.23,3,4,4,344,11,high potential,1
4,2017-06-18,2,1047.72,2,1,1,211,4,,0
5,2017-12-14,6,5903.2,4,3,3,433,10,high potential,1
6,2017-10-27,5,5931.6900000000005,4,2,2,422,8,,0
7,2017-04-21,3,995.38,2,1,1,211,4,,0
8,2017-12-08,10,12024.759999999998,4,4,4,444,12,best,1
9,2017-10-13,6,5357.549999999999,4,3,3,433,10,high potential,1
10,2017-11-27,6,7067.83,4,3,3,433,10,high potential,1
11,2017-11-14,6,6779.4400000000005,4,3,3,433,10,high potential,1
12,2017-10-24,7,6394.21,4,4,4,444,12,best,1
13,2017-12-03,7,7734.74,4,4,4,444,12,best,1
14,2017-11-13,4,3593.57,4,2,2,422,8,,0
15,2017-11-25,6,4923.34,4,3,3,433,10,high potential,1
16,2017-09-22,5,7763.79,3,2,2,322,7,,0
17,2017-12-30,5,4676.1900000000005,4,2,2,422,8,,0
18,2017-08-18,7,8878.62,3,4,4,344,11,high potential,1
19,2017-09-19,3,4238.1900000000005,3,1,1,311,5,,0
20,2017-11-29,4,6618.86,4,2,2,422,8,,0
21,2017-12-24,5,7446.21,4,2,2,422,8,,0
22,2017-09-24,7,8076.91,3,4,4,344,11,high potential,1
23,2017-12-20,7,8415.53,4,4,4,444,12,best,1
24,2017-12-13,8,8078.950000000001,4,4,4,444,12,best,1
25,2017-12-25,12,9996.33,4,4,4,444,12,best,1
26,2017-09-08,3,3943.12,3,1,1,311,5,,0
27,2017-08-09,7,7679.97,3,4,4,344,11,high potential,1
28,2017-10-08,6,5492.900000000001,4,3,3,433,10,high potential,1
29,2017-12-08,9,10855.57,4,4,4,444,12,best,1
30,2017-12-19,3,3736.5199999999995,4,1,1,411,6,,0
31,2017-10-02,4,3110.0,4,2,2,422,8,,0
32,2017-08-14,7,7873.18,3,4,4,344,11,high potential,1
33,2017-11-22,6,8808.96,4,3,3,433,10,high potential,1
34,2017-09-19,9,13133.0,3,4,4,344,11,high potential,1
35,2017-09-29,4,4182.28,3,2,2,322,7,,0
36,2017-07-20,2,1781.04,3,1,1,311,5,,0
37,2017-12-23,9,11291.71,4,4,4,444,12,best,1
38,2017-11-10,4,4502.59,4,2,2,422,8,,0
39,2017-11-26,12,11237.19,4,4,4,444,12,best,1
40,2017-12-16,6,6175.2699999999995,4,3,3,433,10,high potential,1
41,2017-12-01,8,8570.1,4,4,4,444,12,best,1
42,2017-09-10,4,1936.46,3,2,2,322,7,,0
43,2017-10-30,9,6574.59,4,4,4,444,12,best,1
44,2017-11-25,7,7497.4,4,4,4,444,12,best,1
45,2017-11-17,3,2912.33,4,1,1,411,6,,0
46,2017-11-07,5,4923.139999999999,4,2,2,422,8,,0
47,2017-11-25,7,8022.01,4,4,4,444,12,best,1
48,2017-10-09,8,9654.119999999999,4,4,4,444,12,best,1
49,2017-11-24,5,7582.92,4,2,2,422,8,,0
50,2017-12-04,8,9252.66,4,4,4,444,12,best,1
51,2017-11-05,8,9667.460000000001,4,4,4,444,12,best,1
52,2017-12-26,7,10106.57,4,4,4,444,12,best,1
53,2017-12-23,5,5472.74,4,2,2,422,8,,0
54,2017-10-24,7,9813.66,4,4,4,444,12,best,1
55,2017-11-14,8,6754.21,4,4,4,444,12,best,1
56,2017-12-28,7,5060.86,4,4,4,444,12,best,1
57,2017-11-25,6,8748.75,4,3,3,433,10,high potential,1
58,2017-12-10,8,6967.3099999999995,4,4,4,444,12,best,1
59,2017-12-08,3,2797.47,4,1,1,411,6,,0
60,2017-06-13,2,1526.9,2,1,1,211,4,,0
61,2017-11-13,7,8397.28,4,4,4,444,12,best,1
62,2017-12-25,6,5845.950000000001,4,3,3,433,10,high potential,1
63,2017-10-23,3,4156.66,4,1,1,411,6,,0
64,2017-12-27,5,4111.12,4,2,2,422,8,,0
65,2017-08-16,6,8056.469999999999,3,3,3,333,9,high potential,1
66,2017-11-17,4,5199.48,4,2,2,422,8,,0
67,2017-09-05,5,5304.15,3,2,2,322,7,,0
68,2017-10-07,3,5127.98,4,1,1,411,6,,0
69,2017-12-10,6,8395.75,4,3,3,433,10,high potential,1
70,2017-12-26,5,4801.11,4,2,2,422,8,,0
71,2017-08-21,1,1415.01,3,1,1,311,5,,0
72,2017-12-08,5,4360.42,4,2,2,422,8,,0
73,2017-07-15,6,5265.87,3,3,3,333,9,high potential,1
74,2017-12-02,3,2985.64,4,1,1,411,6,,0
75,2017-10-31,8,7130.63,4,4,4,444,12,best,1
76,2017-12-29,8,7425.04,4,4,4,444,12,best,1
77,2017-09-20,3,2964.73,3,1,1,311,5,,0
78,2017-06-02,2,1139.12,2,1,1,211,4,,0
79,2017-11-17,6,6761.43,4,3,3,433,10,high potential,1
80,2017-12-02,10,12564.82,4,4,4,444,12,best,1
81,2017-12-26,4,4421.7,4,2,2,422,8,,0
82,2017-10-13,5,5293.91,4,2,2,422,8,,0
83,2017-10-11,6,4464.65,4,3,3,433,10,high potential,1
84,2017-12-02,7,5464.650000000001,4,4,4,444,12,best,1
85,2017-11-23,6,3158.6299999999997,4,3,3,433,10,high potential,1
86,2017-12-30,9,7319.35,4,4,4,444,12,best,1
87,2017-12-12,9,7994.73,4,4,4,444,12,best,1
88,2017-10-17,6,5550.83,4,3,3,433,10,high potential,1
89,2017-12-26,9,12741.44,4,4,4,444,12,best,1
90,2017-11-30,7,7703.58,4,4,4,444,12,best,1
91,2017-12-21,8,8066.4400000000005,4,4,4,444,12,best,1
92,2017-11-26,3,5098.43,4,1,1,411,6,,0
93,2017-10-12,3,5276.129999999999,4,1,1,411,6,,0
94,2017-11-27,7,8305.77,4,4,4,444,12,best,1
95,2017-11-22,4,5049.799999999999,4,2,2,422,8,,0
96,2017-10-21,4,3874.84,4,2,2,422,8,,0
97,2017-09-19,8,8895.95,3,4,4,344,11,high potential,1
98,2017-08-30,5,6180.05,3,2,2,322,7,,0
99,2017-12-28,9,8279.06,4,4,4,444,12,best,1
100,2017-12-19,2,2748.2,4,1,1,411,6,,0
101,2017-12-22,4,4309.82,4,2,2,422,8,,0
102,2017-11-18,7,6659.22,4,4,4,444,12,best,1
103,2017-11-11,5,4909.84,4,2,2,422,8,,0
104,2017-10-27,9,8985.64,4,4,4,444,12,best,1
105,2017-10-02,4,6234.35,4,2,2,422,8,,0
106,2017-12-29,3,2906.16,4,1,1,411,6,,0
107,2017-10-10,4,3345.1000000000004,4,2,2,422,8,,0
108,2017-12-20,3,3556.66,4,1,1,411,6,,0
109,2017-12-22,10,10661.51,4,4,4,444,12,best,1
110,2017-12-16,7,7788.71,4,4,4,444,12,best,1
111,2017-08-05,4,4873.0599999999995,3,2,2,322,7,,0
112,2017-11-13,6,9059.89,4,3,3,433,10,high potential,1
113,2017-07-08,5,4240.1900000000005,3,2,2,322,7,,0
114,2017-10-21,4,3233.0,4,2,2,422,8,,0
115,2017-12-16,8,8398.18,4,4,4,444,12,best,1
116,2017-12-18,8,5663.92,4,4,4,444,12,best,1
117,2017-12-25,10,12856.83,4,4,4,444,12,best,1
118,2017-10-22,5,5319.51,4,2,2,422,8,,0
119,2017-11-30,4,5217.66,4,2,2,422,8,,0
120,2017-08-23,3,3118.34,3,1,1,311,5,,0
121,2017-09-10,4,4327.44,3,2,2,322,7,,0
122,2017-12-22,5,6533.389999999999,4,2,2,422,8,,0
123,2017-06-22,4,5337.79,2,2,2,222,6,,0
124,2017-12-28,7,8272.15,4,4,4,444,12,best,1
125,2017-10-08,9,6537.76,4,4,4,444,12,best,1
126,2017-12-19,3,3448.12,4,1,1,411,6,,0
127,2017-12-07,10,9949.62,4,4,4,444,12,best,1
128,2017-08-15,4,3679.75,3,2,2,322,7,,0
129,2017-07-05,4,4090.48,3,2,2,322,7,,0
130,2017-10-15,2,3340.42,4,1,1,411,6,,0
131,2017-06-08,6,8745.28,2,3,3,233,8,,0
132,2017-12-23,6,7365.93,4,3,3,433,10,high potential,1
133,2017-12-04,5,3164.55,4,2,2,422,8,,0
134,2017-12-16,6,7170.95,4,3,3,433,10,high potential,1
135,2017-09-06,6,4966.27,3,3,3,333,9,high potential,1
136,2017-12-10,8,9406.85,4,4,4,444,12,best,1
